epoch,train_loss,evaluation_loss,evaluation_accuracy,evaluation_f1,epoch_duration_s,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
0,0.9879517793655396,0.8720126450061798,0.5866666666666667,0.43383753501400557,4.154186964035034,1746204259,checkpoint_000000,True,False,1,a69e7_00000,2025-05-02_11-44-19,11.466071128845215,11.466071128845215,22774,CENGR-LVPT2XMWDF,127.0.0.1,11.466071128845215,1
1,0.9080372273921966,0.8388791382312775,0.5866666666666667,0.43383753501400557,3.6201059818267822,1746204263,checkpoint_000001,True,False,2,a69e7_00000,2025-05-02_11-44-23,3.9495251178741455,15.41559624671936,22774,CENGR-LVPT2XMWDF,127.0.0.1,15.41559624671936,2
2,0.8564908385276795,0.7745070159435272,0.6533333333333333,0.606984126984127,3.783705949783325,1746204267,checkpoint_000002,True,False,3,a69e7_00000,2025-05-02_11-44-27,3.691925048828125,19.107521295547485,22774,CENGR-LVPT2XMWDF,127.0.0.1,19.107521295547485,3
3,0.7134132206439971,0.7585655152797699,0.68,0.6466909090909091,3.617648124694824,1746204270,checkpoint_000003,True,False,4,a69e7_00000,2025-05-02_11-44-31,3.6225972175598145,22.7301185131073,22774,CENGR-LVPT2XMWDF,127.0.0.1,22.7301185131073,4
4,0.6590463906526566,0.7148971557617188,0.7066666666666667,0.681111111111111,4.0468339920043945,1746204274,checkpoint_000004,True,False,5,a69e7_00000,2025-05-02_11-44-34,3.9159531593322754,26.646071672439575,22774,CENGR-LVPT2XMWDF,127.0.0.1,26.646071672439575,5
5,0.602196118235588,0.7481080889701843,0.7066666666666667,0.6779532682638273,3.716855049133301,1746204278,checkpoint_000005,True,False,6,a69e7_00000,2025-05-02_11-44-38,3.7357800006866455,30.38185167312622,22774,CENGR-LVPT2XMWDF,127.0.0.1,30.38185167312622,6
6,0.5738323241472244,0.7431100010871887,0.6533333333333333,0.628577157178661,3.665015935897827,1746204282,checkpoint_000006,True,False,7,a69e7_00000,2025-05-02_11-44-42,3.7565529346466064,34.13840460777283,22774,CENGR-LVPT2XMWDF,127.0.0.1,34.13840460777283,7
7,0.569916519522667,0.7774034440517426,0.72,0.7087922705314009,3.6323890686035156,1746204286,checkpoint_000007,True,False,8,a69e7_00000,2025-05-02_11-44-46,3.6928577423095703,37.8312623500824,22774,CENGR-LVPT2XMWDF,127.0.0.1,37.8312623500824,8
8,0.5358064472675323,0.7473564743995667,0.6266666666666667,0.6127041742286752,3.8443729877471924,1746204289,checkpoint_000008,True,False,9,a69e7_00000,2025-05-02_11-44-50,3.837501287460327,41.668763637542725,22774,CENGR-LVPT2XMWDF,127.0.0.1,41.668763637542725,9
9,0.506442466378212,0.7922627031803131,0.6266666666666667,0.6304281842818428,3.696486711502075,1746204293,checkpoint_000009,True,False,10,a69e7_00000,2025-05-02_11-44-53,3.7152490615844727,45.3840126991272,22774,CENGR-LVPT2XMWDF,127.0.0.1,45.3840126991272,10
